Title,type,directors,duration,douban_score
罗马假日 Roman Holiday,剧情,威廉·惠勒,片长:,9.1
死亡诗社 Dead Poets Society,剧情,彼得·威尔,又名:,9.2
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,剧情,彼得·杰克逊,2002-04-04(中国大陆),9.1
辩护人 변호인,剧情,杨宇硕,又名:,9.2
狮子王 The Lion King,动画,罗杰·阿勒斯,2011-09-16(美国),9.1
饮食男女 飲食男女,剧情,李安,片长:,9.2
教父2 The Godfather: Part II,剧情,弗朗西斯·福特·科波拉,202分钟,9.3
美丽心灵 A Beautiful Mind,剧情,朗·霍华德,135分钟,9.1
本杰明·巴顿奇事 The Curious Case of Benjamin Button,剧情,大卫·芬奇,166分钟,9.0
情书 Love Letter,剧情,岩井俊二,片长:,8.9
搏击俱乐部 Fight Club,剧情,大卫·芬奇,1999-10-15(美国),9.0
窃听风暴 Das Leben der Anderen,剧情,弗洛里安·亨克尔·冯·多纳斯马尔克,又名:,9.2
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,剧情,马克·赫尔曼,片长:,9.2
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",剧情,盖·里奇,107分钟,9.1
西西里的美丽传说 Malèna,剧情,朱塞佩·托纳多雷,109分钟,8.9
看不见的客人 Contratiempo,剧情,奥里奥尔·保罗,2016-09-23(奇幻电影节),8.8
音乐之声 The Sound of Music,剧情,罗伯特·怀斯,片长:,9.1
拯救大兵瑞恩 Saving Private Ryan,剧情,史蒂文·斯皮尔伯格,片长:,9.1
小鞋子 بچه های آسمان,剧情,马基德·马基迪,1999-01-22(美国),9.2
飞越疯人院 One Flew Over the Cuckoo's Nest,剧情,米洛斯·福尔曼,IMDb:,9.1
阿凡达 Avatar,动作,詹姆斯·卡梅隆,2021-03-12(中国大陆重映),8.8
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,奇幻,大卫·叶茨,130分钟,9.0
沉默的羔羊 The Silence of the Lambs,剧情,乔纳森·戴米,118分钟,8.9
功夫,喜剧,周星驰,2015-01-15(中国大陆3D),8.8
布达佩斯大饭店 The Grand Budapest Hotel,剧情,韦斯·安德森,2014-03-28(美国),8.9
致命魔术 The Prestige,剧情,克里斯托弗·诺兰,片长:,8.9
禁闭岛 Shutter Island,剧情,马丁·斯科塞斯,片长:,8.9
蝴蝶效应 The Butterfly Effect,剧情,埃里克·布雷斯,片长:,8.9
超脱 Detachment,剧情,托尼·凯耶,又名:,9.0
心灵捕手 Good Will Hunting,剧情,格斯·范·桑特,IMDb:,8.9
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,奇幻,阿方索·卡隆,片长:,8.9
低俗小说 Pulp Fiction,剧情,昆汀·塔伦蒂诺,片长:,8.9
海豚湾 The Cove,纪录片,路易·西霍尤斯,又名:,9.3
春光乍泄 春光乍洩,剧情,王家卫,片长:,9.0
美国往事 Once Upon a Time in America,剧情,赛尔乔·莱昂内,229分钟(导演剪辑版),9.2
致命ID Identity,剧情,詹姆斯·曼高德,90分钟,8.9
摩登时代 Modern Times,剧情,查理·卓别林,87分钟,9.3
喜剧之王 喜劇之王,剧情,周星驰,89分钟,8.8
杀人回忆 살인의 추억,剧情,奉俊昊,2003-05-02(韩国),8.9
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,动作,戈尔·维宾斯基,片长:,8.8
红辣椒 パプリカ,科幻,今敏,2006-11-25(日本),9.1
唐伯虎点秋香 唐伯虎點秋香,喜剧,李力持,102 分钟,8.7
七宗罪 Se7en,剧情,大卫·芬奇,片长:,8.8
哈利·波特与密室 Harry Potter and the Chamber of Secrets,奇幻,克里斯·哥伦布,片长:,8.9
狩猎 Jagten,剧情,托马斯·温特伯格,又名:,9.1
射雕英雄传之东成西就 射鵰英雄傳之東成西就,喜剧,刘镇伟,片长:,8.7
一一,剧情,杨德昌,2000-12-16(日本),9.1
模仿游戏 The Imitation Game,剧情,莫滕·泰杜姆,2014-08-29(特柳赖德电影节),8.8
我是山姆 I Am Sam,剧情,杰茜·尼尔森,又名:,9.0
花样年华 花樣年華,剧情,王家卫,98分钟,8.8
阳光姐妹淘 써니,剧情,姜炯哲,又名:,8.8
头号玩家 Ready Player One,动作,史蒂文·斯皮尔伯格,2018-03-29(美国),8.6
头脑特工队 Inside Out,喜剧,彼特·道格特,2015-06-19(美国),8.8
七武士 七人の侍,剧情,黑泽明,207分钟,9.3
恐怖直播 더 테러 라이브,剧情,金秉祐,97分钟,8.7
血战钢锯岭 Hacksaw Ridge,剧情,梅尔·吉布森,2016-12-08(中国大陆),8.7
黑客帝国3：矩阵革命 The Matrix Revolutions,动作,拉娜·沃卓斯基,又名:,8.8
惊魂记 Psycho,悬疑,阿尔弗雷德·希区柯克,片长:,9.0
电锯惊魂 Saw,悬疑,温子仁,片长:,8.7
达拉斯买家俱乐部 Dallas Buyers Club,剧情,让-马克·瓦雷,片长:,8.8
你的名字。 君の名は。,剧情,新海诚,2016-08-26(日本),8.5
疯狂原始人 The Croods,喜剧,柯克·德·米科,2013-03-22(美国),8.7
心迷宫,剧情,忻钰坤,2014-08-28(威尼斯电影节),8.7
英雄本色,剧情,吴宇森,片长:,8.6
上帝之城 Cidade de Deus,剧情,费尔南多·梅里尔斯,130分钟,9.0
"三块广告牌 Three Billboards Outside Ebbing, Missouri",剧情,马丁·麦克唐纳,片长:,8.7
谍影重重3 The Bourne Ultimatum,动作,保罗·格林格拉斯,片长:,8.8
风之谷 風の谷のナウシカ,动画,宫崎骏,片长:,8.9
纵横四海 緃横四海,剧情,吴宇森,片长:,8.8
肖申克的救赎 The Shawshank Redemption,剧情,弗兰克·德拉邦特,142分钟,9.7
爱在午夜降临前 Before Midnight,剧情,理查德·林克莱特,109分钟,8.9
阿甘正传 Forrest Gump,剧情,罗伯特·泽米吉斯,142分钟,9.5
霸王别姬,剧情,陈凯歌,片长:,9.6
泰坦尼克号 Titanic,剧情,詹姆斯·卡梅隆,1997-11-01(东京电影节),9.5
